annee;mois;jour;heure;val_PM10;VV10.x;VV10.y
2014;11;1;5;28;2.39;3.22
2014;11;1;6;27;2.35;3.04
2014;11;1;7;27;2.5;3.42
2014;11;1;8;30;2.48;3.38
2014;11;1;9;34;2.36;2.29
2014;11;1;10;36;2.25;1.65
2014;11;1;11;33;2.24;0.68
2014;11;1;12;30;2.51;0.89
2014;11;1;13;31;2.18;1.72
2014;11;1;14;25;1.82;1.97
2014;11;1;15;27;1.8;2.09
2014;11;1;16;30;1.46;1.96
2014;11;1;17;30;0.77;1.27
2014;11;1;18;35;0.4;0.97
2014;11;1;19;54;0.47;0.69
2014;11;1;20;68;1.48;1.27
2014;11;1;21;59;1.83;1.38
2014;11;1;22;63;1.99;1.92
2014;11;1;23;60;2.3;2.25
2014;11;2;0;51;2.34;3.2
2014;11;2;1;51;2.39;2.91
2014;11;2;2;43;2.21;3.02
2014;11;2;3;38;1.97;3.09
2014;11;2;4;32;2.14;3.35
2014;11;2;5;30;2.16;2.93
2014;11;2;6;30;2.18;2.89
2014;11;2;7;26;2.13;3
2014;11;2;8;25;2.02;3.01
2014;11;2;9;24;1.94;2.51
2014;11;2;10;21;2.02;2.46
2014;11;2;11;17;2.77;2.93
2014;11;2;12;19;3.56;3.62
2014;11;2;13;19;3.87;4.57
2014;11;2;14;18;4.19;5.02
2014;11;2;15;18;4.56;5.35
2014;11;2;16;23;5.08;5.17
2014;11;2;17;28;5.27;4.57
2014;11;2;18;20;5.02;4.87
2014;11;2;19;30;5.04;4.19
2014;11;2;20;33;5.35;4.54
2014;11;2;21;26;5.19;4.57
2014;11;2;22;23;6.42;4.79
2014;11;2;23;19;6.4;5.23
2014;11;3;0;18;7.59;6.27
2014;11;3;1;17;6.95;5.38
2014;11;3;2;14;5.91;5.85
2014;11;3;3;11;6.05;5.26
2014;11;3;4;9;7.19;5.64
2014;11;3;5;12;7.04;6.03
2014;11;3;6;10;7.42;5.96
2014;11;3;7;12;8.09;5.65
2014;11;3;8;14;8.09;5.48
2014;11;3;9;16;8.1;7.24
2014;11;3;10;13;8.7;8.1
2014;11;3;11;14;8.13;8.16
2014;11;3;12;13;8.77;8.61
2014;11;3;13;12;9.75;8.44
2014;11;3;14;12;9.64;8.54
2014;11;3;15;14;10.55;8.65
2014;11;3;16;14;9.57;7.61
2014;11;3;17;13;9.68;8.45
2014;11;3;18;14;9.14;8.97
2014;11;3;19;13;10.02;9.05
2014;11;3;20;14;9.67;9.64
2014;11;3;21;15;10.07;9.34
2014;11;3;22;20;9.06;8.04
2014;11;3;23;21;9.13;7.78
2014;11;4;0;22;8.79;8.07
2014;11;4;1;20;10.48;9.11
2014;11;4;2;21;10.46;9.38
2014;11;4;3;23;10.96;8.48
2014;11;4;4;23;10.79;8.74
2014;11;4;5;24;10.88;8.64
2014;11;4;6;28;10.39;7.74
2014;11;4;7;34;10.32;5.54
2014;11;4;8;39;8.63;4.68
2014;11;4;9;31;5.47;4.58
2014;11;4;10;16;3.7;4.28
2014;11;4;11;18;4.16;5.02
2014;11;4;12;19;5.64;6.18
2014;11;4;13;17;6.06;6.07
2014;11;4;14;10;5.25;7.11
2014;11;4;15;10;10.17;8.14
2014;11;4;16;10;8.46;8.46
2014;11;4;17;6;10.47;8.32
2014;11;4;18;7;13.92;7.48
2014;11;4;19;0;0;0
2014;11;4;20;0;0;0
2014;11;4;21;0;0;0
2014;11;4;22;0;0;0
2014;11;4;23;0;0;0
2014;11;5;0;0;0;0
2014;11;5;1;14;4.9;4.49
2014;11;5;2;13;5.21;4.4
2014;11;5;3;8;4.36;2.68
2014;11;5;4;10;4;2.65
2014;11;5;5;8;5.47;5.99
2014;11;5;6;2;5.69;5.87
2014;11;5;7;2;6.27;6.33
2014;11;5;8;6;7.01;6.17
2014;11;5;9;8;6.73;6.46
2014;11;5;10;7;7.04;7.16
2014;11;5;11;6;7.11;8.01
2014;11;5;12;0;0;0
2014;11;5;13;0;0;0
2014;11;5;14;0;0;0
2014;11;5;15;0;0;0
2014;11;5;16;0;0;0
2014;11;5;17;0;0;0
2014;11;5;18;7;8.96;7.81
2014;11;5;19;7;8.45;7.37
2014;11;5;20;6;7.65;7.02
2014;11;5;21;8;7.51;6.58
2014;11;5;22;9;7.22;7.09
2014;11;5;23;8;7.06;6.93
