annee;mois;jour;heure;N2aixa;N2aixc;N2cinq;N2plom;N2raba;N2stlo;O3aixa;O3aixp;O3cinq;PCaixa;PCaixc;PCcinq;PCraba;PCstlo;Aix VV
2014;1;1;1;19;24;13;66;0;25;35;41;60;20;21;18;0;19;1.3
2014;1;1;2;11;22;16;68;42;16;40;33;55;17;17;15;19;16;1.9
2014;1;1;3;15;30;31;78;50;51;35;26;38;12;17;17;17;19;0.6
2014;1;1;4;15;28;23;68;46;71;40;31;43;9;15;20;19;26;1.1
2014;1;1;5;14;16;22;54;33;60;36;31;43;13;15;20;12;27;1.7
2014;1;1;6;18;12;16;47;25;38;33;27;47;12;14;14;13;22;1.1
2014;1;1;7;19;18;16;49;27;24;32;23;48;13;12;14;9;15;1.6
2014;1;1;8;7;12;13;44;28;37;41;42;59;12;9;14;16;16;1
2014;1;1;9;8;13;11;57;30;36;41;40;64;10;12;13;8;20;1.8
2014;1;1;10;15;14;10;54;21;13;37;46;64;11;13;10;20;17;1.8
2014;1;1;11;19;18;11;61;23;11;39;44;67;14;11;11;0;12;1.3
2014;1;1;12;9;13;14;65;15;14;57;48;66;13;14;12;18;11;0.9
2014;1;1;13;7;12;11;59;15;17;65;75;71;13;12;13;13;12;1.8
2014;1;1;14;7;11;11;64;16;15;62;73;69;13;10;13;22;13;3.1
2014;1;1;15;7;11;15;61;15;14;60;71;71;10;16;14;20;16;3.1
2014;1;1;16;7;16;16;75;21;15;57;70;69;14;13;13;18;15;3.6
2014;1;1;17;12;18;15;75;28;21;53;65;65;15;12;15;16;15;3.8
2014;1;1;18;11;22;15;88;24;21;53;72;62;13;14;17;25;17;3.3
2014;1;1;19;9;10;19;77;19;17;57;72;61;14;14;16;16;16;3.6
2014;1;1;20;8;7;11;58;22;17;59;75;70;15;13;20;20;17;4.2
2014;1;1;21;10;13;16;40;11;15;51;68;68;12;16;19;24;20;4.4
2014;1;1;22;9;9;10;53;13;18;51;64;70;14;15;19;22;21;1.8
2014;1;1;23;12;14;9;35;10;18;44;65;74;13;13;16;15;21;3.4
2014;1;2;0;10;9;8;27;7;11;49;67;72;16;12;17;18;20;2.7
2014;1;2;1;7;7;4;14;5;8;59;70;76;14;9;15;15;17;4.2
2014;1;2;2;7;7;4;0;5;6;60;72;74;13;15;16;15;17;3.4
2014;1;2;3;7;6;4;35;6;6;58;67;70;12;17;15;13;14;3.7
2014;1;2;4;6;7;4;24;4;10;52;65;66;11;13;11;10;9;4
2014;1;2;5;7;7;6;40;10;16;54;66;66;11;7;11;9;9;3.5
2014;1;2;6;8;10;11;49;19;19;55;64;65;8;7;14;15;14;2.3
2014;1;2;7;15;25;13;55;28;25;46;62;65;8;10;16;17;18;2
2014;1;2;8;22;36;22;72;30;39;40;61;58;12;10;20;27;21;2.8
2014;1;2;9;24;48;25;74;40;40;36;60;52;12;14;23;25;27;1.2
2014;1;2;10;28;34;25;94;44;44;34;60;49;13;13;24;29;29;1.2
2014;1;2;11;27;39;23;91;43;45;35;61;50;0;15;25;36;31;2.1
2014;1;2;12;26;45;26;96;36;33;34;63;48;16;16;26;49;30;1.6
2014;1;2;13;23;29;23;105;35;39;35;44;54;15;18;29;50;36;0.5
2014;1;2;14;15;18;28;120;48;31;39;53;48;14;14;31;47;36;2.7
2014;1;2;15;19;35;19;92;31;25;34;54;49;12;20;25;43;33;2.1
2014;1;2;16;16;39;31;99;51;28;37;51;33;12;19;22;37;28;1.7
2014;1;2;17;35;41;39;96;82;45;16;19;24;17;21;21;40;31;1.5
2014;1;2;18;47;37;51;96;67;50;2;10;14;18;18;23;44;33;0.9
2014;1;2;19;43;41;43;100;63;55;1;8;19;26;19;25;25;47;0.5
2014;1;2;20;35;34;49;89;63;45;6;8;12;30;29;24;0;51;1.1
2014;1;2;21;21;18;46;72;54;46;17;18;14;23;23;31;29;44;1.3
2014;1;2;22;13;15;28;62;43;33;28;28;23;19;17;31;27;36;0.9
2014;1;2;23;17;13;27;60;35;32;18;25;25;13;15;26;21;26;1.8
2014;1;3;0;20;21;18;47;38;34;16;18;34;14;14;18;19;28;0.5
2014;1;3;1;12;15;16;36;25;34;20;14;36;10;13;12;18;23;2.2
2014;1;3;2;6;13;15;33;20;29;22;13;36;10;12;14;14;20;1.8
2014;1;3;3;7;11;14;46;23;29;21;12;37;9;11;15;12;18;1.5
2014;1;3;4;9;19;12;46;27;20;18;10;47;9;10;10;19;16;0.5
2014;1;3;5;6;12;11;75;47;27;24;19;46;11;10;6;18;15;1.8
2014;1;3;6;13;18;21;73;34;32;19;18;39;7;9;11;21;15;2.6
2014;1;3;7;18;21;22;86;42;28;19;19;44;9;11;13;19;16;0.5
2014;1;3;8;28;22;27;90;43;31;13;17;37;9;11;12;0;20;1.9
2014;1;3;9;34;15;33;90;48;31;11;8;31;8;15;14;19;18;1.4
2014;1;3;10;30;17;27;79;47;30;15;11;35;13;14;14;20;16;1.4
2014;1;3;11;16;15;21;86;42;25;41;23;40;15;11;17;24;15;1.8
2014;1;3;12;9;16;19;81;34;16;51;57;47;13;8;15;22;14;3.8
2014;1;3;13;9;15;14;90;36;22;52;60;51;12;10;13;26;20;4.1
2014;1;3;14;8;15;15;96;29;20;53;61;50;11;12;10;23;22;4.4
