annee;mois;jour;heure;val_PM10;VV10.x;VV10.y;PM10_modele
2017;1;14;0;20;8.41;7.25;17.1
2017;1;14;1;19;10.89;7.63;19.9
2017;1;14;2;21;10.03;7.91;20.3
2017;1;14;3;20;8.49;7.79;20.2
2017;1;14;4;18;8.07;7.52;20.4
2017;1;14;5;25;6.2;5.42;7
2017;1;14;6;22;6.52;6.1;4.7
2017;1;14;7;23;6.82;5.77;3.5
2017;1;14;8;24;7.02;5.26;3.3
2017;1;14;9;22;7.46;5.32;3.5
2017;1;14;10;15;8.46;5.65;3.7
2017;1;14;11;10;9.42;6.37;4.4
2017;1;14;12;11;10.12;7.64;5.2
2017;1;14;13;11;10.41;7.8;5.8
2017;1;14;14;9;10.28;8.4;6
2017;1;14;15;12;9.92;8.04;6.2
2017;1;14;16;16;9.45;7.32;6.2
2017;1;14;17;18;9.03;6.9;5.8
2017;1;14;18;18;8.84;7.23;5.1
2017;1;14;19;16;7.35;6.66;4.4
2017;1;14;20;14;6.87;6.15;4.1
2017;1;14;21;13;6.3;5.15;4.1
2017;1;14;22;14;5.76;4.99;4.4
2017;1;14;23;11;5.7;4.87;4.9
2017;1;15;0;10;6.23;5.4;28.7
2017;1;15;1;12;4.74;4.67;32.9
2017;1;15;2;13;4.99;4.67;34.2
2017;1;15;3;8;5.44;4.17;34.4
2017;1;15;4;8;5.21;3.97;34.8
2017;1;15;5;7;6.28;4.11;10.6
2017;1;15;6;11;6.2;4.32;10.7
2017;1;15;7;12;6.16;4.74;10.4
2017;1;15;8;16;6.39;5.67;9.8
2017;1;15;9;16;7.02;6.25;9.6
2017;1;15;10;13;7.8;6.39;9.9
2017;1;15;11;10;8.73;6.79;10.1
2017;1;15;12;10;9.13;6.74;8.4
2017;1;15;13;10;9.14;6.61;7
2017;1;15;14;12;8.8;7.08;6.7
2017;1;15;15;15;8.13;7.21;7.3
2017;1;15;16;24;7.95;7.36;7.1
2017;1;15;17;25;6.85;6.87;7.2
2017;1;15;18;26;6.43;5.4;7.4
2017;1;15;19;20;4.57;6.16;7
2017;1;15;20;17;5.63;6.21;7.6
2017;1;15;21;16;4.81;4.84;5.5
2017;1;15;22;14;6.04;4.28;4.3
2017;1;15;23;12;6.03;5.06;4.7
2017;1;16;0;10;5.2;3.74;15.8
2017;1;16;1;15;6.42;6.36;17
2017;1;16;2;14;6.62;6.34;17.8
2017;1;16;3;22;6.6;5.97;19
2017;1;16;4;29;6.8;5.44;16.6
2017;1;16;5;28;5.56;3.85;6.8
2017;1;16;6;53;5.66;4.24;7.2
2017;1;16;7;57;5.69;4.9;7
2017;1;16;8;45;0;0;0
2017;1;16;9;22;0;0;0
2017;1;16;10;29;0;0;0
2017;1;16;11;29;0;0;0
2017;1;16;12;27;0;0;0
2017;1;16;13;22;0;0;0
2017;1;16;14;23;0;0;0
2017;1;16;15;23;7.34;7.06;7.2
2017;1;16;16;31;6.92;6.75;6.8
2017;1;16;17;40;6.16;6.18;6.8
2017;1;16;18;41;5.74;5.87;7.5
2017;1;16;19;33;5.32;4.58;9
2017;1;16;20;31;5.11;3.83;9.3
2017;1;16;21;48;5.34;3.97;9.5
2017;1;16;22;27;5.22;4.19;10.5
2017;1;16;23;23;4.48;3.63;11.2
2017;1;17;0;20;0.78;1.41;9.6
2017;1;17;1;22;3.39;1.8;4.7
2017;1;17;2;18;2.73;1.68;4.4
2017;1;17;3;28;2.52;1.56;4.1
2017;1;17;4;34;2.48;0.91;4.3
2017;1;17;5;58;0.82;0.72;22.8
2017;1;17;6;72;1.16;0.65;19.3
2017;1;17;7;79;1.15;1.03;14.5
2017;1;17;8;68;1.88;1.43;12.7
2017;1;17;9;54;2.03;1.72;11.4
2017;1;17;10;49;2.59;1.77;10.9
2017;1;17;11;31;2.96;1.97;11.1
2017;1;17;12;24;3.05;4.22;11.2
2017;1;17;13;27;3.06;5.15;11.8
2017;1;17;14;26;2.96;5.26;12.3
2017;1;17;15;11;2.9;5.22;13
2016;6;4;16;13;2.42;4.69;13.3
2016;6;4;17;16;2.05;3.91;14
2016;6;4;18;20;1.66;3.12;14.6
2016;6;4;19;19;1.81;2.01;15.3
2016;6;4;20;20;1.46;1.73;15.6
2016;6;4;21;22;1.31;0.69;16.4
2016;6;4;22;23;1.9;1.3;17
2016;6;4;23;21;3.07;1.21;17.4
2016;6;5;0;27;2.67;0.48;8.5
2016;6;5;1;17;2.47;0.41;3.3
2016;6;5;2;23;2.57;0.72;3.6
2016;6;5;3;19;2.02;1.02;4.2
2016;6;5;4;26;1.51;1.99;5
2016;6;5;5;22;1.23;2.46;20.7
2016;6;5;6;23;1.85;2.73;18.6
2016;6;5;7;28;2.8;3.19;15.2
2016;6;5;8;24;2.83;3.35;12.9
2016;6;5;9;26;2.32;3.35;11.6
2016;6;5;10;17;2.37;4.05;11
2016;6;5;11;26;3.09;4.52;10.3
2016;6;5;12;23;5.53;4.39;11.3
2016;6;5;13;16;6.6;5.26;9.9
2016;6;5;14;12;6.54;5.53;9.2
2016;6;5;15;12;6.45;5.85;9.2
2016;6;5;16;12;6.02;6.6;9.7
2016;6;5;17;11;5.72;6.33;10.2
2016;6;5;18;11;4.99;5.65;10.2
2016;6;5;19;9;4.42;4.24;10
2016;6;5;20;9;3.62;3.1;9.6
2016;6;5;21;10;3.3;2.22;9.9
2016;6;5;22;8;3.55;2.82;11.1
2016;6;5;23;13;4.21;3.61;12.2
2016;6;6;0;13;2.46;1.7;5.8
2016;6;6;1;8;3.47;2.64;6.7
2016;6;6;2;15;1.97;2.1;5
2016;6;6;3;13;1.09;2.23;3.9
2016;6;6;4;12;1.32;1.39;3.4
2016;6;6;5;16;1.42;2.03;15.6
2016;6;6;6;27;1.51;1.67;14.4
2016;6;6;7;32;3.85;1.41;10.3
2016;6;6;8;27;4.74;1.45;7.7
2016;6;6;9;45;4.61;1.97;7.2
2016;6;6;10;37;4.64;3.7;8.3
2016;6;6;11;17;4.6;4.77;10
2016;6;6;12;10;4.2;5.7;11.6
2016;6;6;13;17;3.81;5.82;12.3
2016;6;6;14;13;3.08;5.56;12.9
2016;6;6;15;12;2.17;5.02;12.8
2016;6;6;16;16;2.17;4.45;12.5
2016;6;6;17;13;2.35;3.94;11.9
2016;6;6;18;15;2.42;2.99;11.9
2016;6;6;19;14;2.27;2.21;11.8
2016;6;6;20;15;1.88;1.42;12.3
2016;6;6;21;11;1.59;1.18;13.4
2016;6;6;22;11;1.31;0.8;14.2
2016;6;6;23;15;1.33;1.49;14.6
2016;6;7;0;17;1.27;1.15;4.1
2016;6;7;1;17;1.24;1.27;6.6
2016;6;7;2;18;1.47;1.02;8.3
2016;6;7;3;12;1.43;1.12;10.5
2016;6;7;4;22;1.46;0.51;11.2
2016;6;7;5;20;1.98;1.12;22
2016;6;7;6;28;1.53;0.95;19.3
2016;6;7;7;39;1.11;0.99;14.3
2016;6;7;8;33;1.65;2.02;15.2
2016;6;7;9;54;2.73;2.41;15.5
2016;6;7;10;85;3.9;2.17;15.6
2016;6;7;11;36;3.9;2.47;16.6
2016;6;7;12;34;4.1;3.98;17.9
2016;6;7;13;26;3.9;5.09;18.5
2016;6;7;14;22;3.8;4.89;18.7
2016;6;7;15;12;3.73;4.56;17.3
2016;6;7;16;18;3.34;4.14;13.8
2016;6;7;17;19;3.08;3.45;11.9
2016;6;7;18;18;3.17;2.85;10.5
2016;6;7;19;20;2.15;2.78;8.9
2016;6;7;20;16;1.36;2.97;8.2
2016;6;7;21;14;1.2;3.25;8.8
2016;6;7;22;17;0.88;2.84;10
2016;6;7;23;20;1.11;2.37;11.3
2016;6;8;0;19;3.63;1.18;5.8
2016;6;8;1;21;1.11;0.88;5.1
2016;6;8;2;19;2.88;1.97;5.3
2016;6;8;3;17;4.02;1.82;5.8
2016;6;8;4;23;4.61;1.63;6.2
2016;6;8;5;26;3.51;1.7;15.2
2016;6;8;6;32;3.11;2.41;11.9
2016;6;8;7;40;2.59;3.03;9.1
